city,day,facade,street_width_m,opposite_height_m,floor,direct_sun_h
Milan,spring,east_or_west,20,18,2,3.4
Milan,spring,east_or_west,20,18,3,4
Milan,spring,east_or_west,20,18,4,4.8
Milan,spring,east_or_west,20,18,5,5.5
Milan,spring,east_or_west,30,18,0,3.3
Milan,spring,east_or_west,30,18,1,3.8
Milan,spring,east_or_west,30,18,2,4.2
Milan,spring,east_or_west,30,18,3,4.6
Milan,spring,east_or_west,30,18,4,5.1
Milan,spring,east_or_west,30,18,5,5.7
Milan,summer,south,8,18,0,8.4
Milan,summer,south,8,18,1,8.4
Milan,summer,south,8,18,2,8.4
Milan,summer,south,8,18,3,8.4
Milan,summer,south,8,18,4,8.4
Milan,summer,south,8,18,5,8.4
Milan,summer,south,12,18,0,8.4
Milan,summer,south,12,18,1,8.4
Milan,summer,south,12,18,2,8.4
Milan,summer,south,12,18,3,8.4
Milan,summer,south,12,18,4,8.4
Milan,summer,south,12,18,5,8.4
Milan,summer,south,20,18,0,8.4
Milan,summer,south,20,18,1,8.4
Milan,summer,south,20,18,2,8.4
Milan,summer,south,20,18,3,8.4
Milan,summer,south,20,18,4,8.4
Milan,summer,south,20,18,5,8.4
Milan,summer,south,30,18,0,8.4
Milan,summer,south,30,18,1,8.4
Milan,summer,south,30,18,2,8.4
Milan,summer,south,30,18,3,8.4
Milan,summer,south,30,18,4,8.4
Milan,summer,south,30,18,5,8.4
Milan,summer,east_or_west,8,18,0,1.7
Milan,summer,east_or_west,8,18,1,2.1
Milan,summer,east_or_west,8,18,2,2.6
Milan,summer,east_or_west,8,18,3,3.3
Milan,summer,east_or_west,8,18,4,4.7
Milan,summer,east_or_west,8,18,5,6.6
Milan,summer,east_or_west,12,18,0,2.5
Milan,summer,east_or_west,12,18,1,2.9
Milan,summer,east_or_west,12,18,2,3.6
Milan,summer,east_or_west,12,18,3,4.4
Milan,summer,east_or_west,12,18,4,5.6
Milan,summer,east_or_west,12,18,5,7
Milan,summer,east_or_west,20,18,0,3.8
Milan,summer,east_or_west,20,18,1,4.3
Milan,summer,east_or_west,20,18,2,4.8
Milan,summer,east_or_west,20,18,3,5.6
Milan,summer,east_or_west,20,18,4,6.4
Milan,summer,east_or_west,20,18,5,7.3
Milan,summer,east_or_west,30,18,0,4.8
Milan,summer,east_or_west,30,18,1,5.2
Milan,summer,east_or_west,30,18,2,5.7
Milan,summer,east_or_west,30,18,3,6.2
Milan,summer,east_or_west,30,18,4,6.8
Milan,summer,east_or_west,30,18,5,7.4
Milan,autumn,south,8,18,0,0
Milan,autumn,south,8,18,1,0.1
Milan,autumn,south,8,18,2,0.3
Milan,autumn,south,8,18,3,11.8
Milan,autumn,south,8,18,4,11.8
Milan,autumn,south,8,18,5,11.8
Milan,autumn,south,12,18,0,0.2
Milan,autumn,south,12,18,1,0.7
Milan,autumn,south,12,18,2,11.8
Milan,autumn,south,12,18,3,11.8
Milan,autumn,south,12,18,4,11.8
Milan,autumn,south,12,18,5,11.8
Milan,autumn,south,20,18,0,11.8
Milan,autumn,south,20,18,1,11.8
Milan,autumn,south,20,18,2,11.8
Milan,autumn,south,20,18,3,11.8
Milan,autumn,south,20,18,4,11.8
Milan,autumn,south,20,18,5,11.8
Milan,autumn,south,30,18,0,11.8
Milan,autumn,south,30,18,1,11.8
Milan,autumn,south,30,18,2,11.8
Milan,autumn,south,30,18,3,11.8
Milan,autumn,south,30,18,4,11.8
Milan,autumn,south,30,18,5,11.8
Milan,autumn,east_or_west,8,18,0,1.2
Milan,autumn,east_or_west,8,18,1,1.4
Milan,autumn,east_or_west,8,18,2,1.7
Milan,autumn,east_or_west,8,18,3,2.3
Milan,autumn,east_or_west,8,18,4,3.3
Milan,autumn,east_or_west,8,18,5,4.9
Milan,autumn,east_or_west,12,18,0,1.7
Milan,autumn,east_or_west,12,18,1,2.1
Milan,autumn,east_or_west,12,18,2,2.5
Milan,autumn,east_or_west,12,18,3,3.2
Milan,autumn,east_or_west,12,18,4,4.1
Milan,autumn,east_or_west,12,18,5,5.2
Milan,autumn,east_or_west,20,18,0,2.6
Milan,autumn,east_or_west,20,18,1,3
Milan,autumn,east_or_west,20,18,2,3.5
Milan,autumn,east_or_west,20,18,3,4.1
Milan,autumn,east_or_west,20,18,4,4.8
Milan,autumn,east_or_west,20,18,5,5.6
Milan,autumn,east_or_west,30,18,0,3.4
Milan,autumn,east_or_west,30,18,1,3.8
Milan,autumn,east_or_west,30,18,2,4.2
Milan,autumn,east_or_west,30,18,3,4.7
Milan,autumn,east_or_west,30,18,4,5.2
Milan,autumn,east_or_west,30,18,5,5.7
Milan,winter,south,8,18,0,0
Milan,winter,south,8,18,1,0
Milan,winter,south,8,18,2,0
Milan,winter,south,8,18,3,0
Milan,winter,south,8,18,4,0
Milan,winter,south,8,18,5,6.6
Milan,winter,south,12,18,0,0
Milan,winter,south,12,18,1,0
Milan,winter,south,12,18,2,0
Milan,winter,south,12,18,3,0
Milan,winter,south,12,18,4,1
Milan,winter,south,12,18,5,7.4
Milan,winter,south,20,18,0,0
Milan,winter,south,20,18,1,0
Milan,winter,south,20,18,2,0
Milan,winter,south,20,18,3,1.4
Milan,winter,south,20,18,4,6.1
Milan,winter,south,20,18,5,8
Milan,winter,south,30,18,0,0
Milan,winter,south,30,18,1,0
